Name,Habitat,Red,Green,Blue
African Bullfrog,African Rainforest,6,95,83
African Crested Porcupine,African Rainforest,6,95,83
African Lungfish,African Rainforest,6,95,83
African Painted Dog,Predators of the Serengeti,255,137,78
African Red-Billed Hornbill,Predators of the Serengeti,255,137,78
African Rock Python,Predators of the Serengeti,255,137,78
African Slender-Snouted Crocodile,African Rainforest,6,95,83
African Spurred Tortoise,African Savanna,206,230,86
Allen's Swamp Monkey,African Rainforest,6,95,83
American Beaver,Cascade Stream and Pond,117,202,239
American Black Bear,Black Bear Ridge,72,74,75
Amur Tiger,Discovery Plaza,239,81,47
Asian Elephant,Elephant Lands,175,175,175
Bald Eagle,Eagle Canyon,67,136,141
Black and White-Ruffed Lemur,Predators of the Serengeti,255,137,78
Black Rhinoceros,Rhino Ridge,209,200,193
Bontebok,African Savanna,206,230,86
Bufflehead,Cascade Stream and Pond,117,202,239
Bull Trout,Eagle Canyon,67,136,141
California Condor,Condors of the Colombia,73,27,27
Cattle Egret,Cascade Stream and Pond,117,202,239
Cheetah,Predators of the Serengeti,255,137,78
Chimpanzee,Primate Forest,19,152,23
Chinook Salmon,Eagle Canyon,67,136,141
Cinnamon Teal,Cascade Stream and Pond,117,202,239
Coho Salmon,Eagle Canyon,67,136,141
Colobus Monkey,African Rainforest,6,95,83
Cougar,Cougar Crossing,232,160,98
De Brazza's Monkey,African Savanna,206,230,86
Dwarf Mongoose,Predators of the Serengeti,255,137,78
Giraffe,African Savanna,206,230,86
Grey Gull,Penguinarium,32,92,132
Hadada Ibis,African Rainforest Aviary,18,185,163
Harbor Seal,Stellar Cove,77,255,243
Hooded Merganser,Cascade Stream and Pond,117,202,239
Humboldt Penguin,Penguinarium,32,92,132
Inca Tern,Penguinarium,32,92,132
Lesser Flamingo,African Rainforest Aviary,18,185,163
Lion,Predators of the Serengeti,255,137,78
Naked Mole Rat,African Savanna,206,230,86
Nankin Chicken,Family Farm,204,0,0
Northern Pintail,Cascade Stream and Pond,117,202,239
Northern Shoveler,Cascade Stream and Pond,117,202,239
Orangutan,Primate Forest,19,152,23
Pacific Lamprey,Cascade Stream and Pond,117,202,239
Polar Bear,Polar Bear Passage,65,77,117
Pygmy Goat,Family Farm,204,0,0
Pygora Goat,Family Farm,204,0,0
Rainbow Trout,Eagle Canyon,67,136,141
Red Panda,Discovery Plaza,239,81,47
Red-Crested Pochard,African Rainforest Aviary,18,185,163
Redhead,Cascade Stream and Pond,117,202,239
Ring-Tailed Lemur,Predators of the Serengeti,255,137,78
River Otter,Cascade Stream and Pond,117,202,239
Rocky Mountain Goat,Cascade Crest,65,117,68
Rodrigues Flying Fox,African Rainforest,6,95,83
Sacred Ibis,African Rainforest Aviary,18,185,163
Southern Ground Hornbill,African Savanna,206,230,86
Southern Sea Otter,Stellar Cove,77,255,243
Speke's Gazelle,African Savanna,206,230,86
Straw-Colored Fruit Bat,African Rainforest,6,95,83
Veiled Chameleon,Predators of the Serengeti,255,137,78
Western Painted Turtle,Cascade Stream and Pond,117,202,239
White Sturgeon,Eagle Canyon,67,136,141
White-Cheeked Gibbon,Primate Forest,19,152,23
White-Faced Whistling Duck,African Rainforest Aviary,18,185,163
Wood Duck,Cascade Stream and Pond,117,202,239
